OBJECTID,FID_BANJIR,ID,GRIDCODE,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,KELAS,SHAPE.AREA,SHAPE.LEN
567,428,429,2,Kayu Putih,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1006,31.75.02,31.75,Sedang,10000.0000002741,400.000000005482
568,429,430,2,Kayu Putih,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1006,31.75.02,31.75,Sedang,6403.80859467793,374.980041499546
569,430,431,2,Kembangan Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1006,31.73.08,31.73,Sedang,6846.86206351991,377.293209904258
570,431,432,2,Kembangan Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1006,31.73.08,31.73,Sedang,74222.0469165888,1097.6655784469
571,432,433,2,Kembangan Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1006,31.73.08,31.73,Sedang,6846.86206270237,377.293209881864
572,433,434,2,Kemanggisan,Pal Merah,Kota Adm. Jakarta Barat,31.73.07.1005,31.73.07,31.73,Sedang,6846.8620622935905,377.29320987066603
573,434,435,2,Cikini,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1003,31.71.06,31.71,Sedang,6846.86206270237,377.293209881864
574,435,436,2,Rawamangun,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1005,31.75.02,31.75,Sedang,9754.91162919342,603.277760144923
575,435,436,2,Kayu Putih,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1006,31.75.02,31.75,Sedang,107702.174187721,1283.3319463163502
576,436,437,3,Ujung Menteng,Cakung,Kota Adm. Jakarta Timur,31.75.06.1006,31.75.06,31.75,Berat,13654.283061228401,565.895366851811
577,437,438,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,6403.80859324272,374.98004145292504
578,438,439,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,6403.8085950132,374.980041512039
579,439,440,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,6403.80859305446,374.98004145962204
580,440,441,1,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Ringan,6781.02009549876,365.426558247185
581,440,441,1,Rawa Terate,Cakung,Kota Adm. Jakarta Timur,31.75.06.1002,31.75.06,31.75,Ringan,65.7897387551592,37.892214280625694
582,441,442,2,Pegangsaan Dua,Kelapa Gading,Kota Adm. Jakarta Utara,31.72.06.1002,31.72.06,31.72,Sedang,133265.042857221,1702.99645037696
583,441,442,2,Pulo Gadung,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1001,31.75.02,31.75,Sedang,17938.1190319237,714.106632339662
584,441,442,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,182307.720030929,2828.38080044343
585,441,442,2,Rawa Terate,Cakung,Kota Adm. Jakarta Timur,31.75.06.1002,31.75.06,31.75,Sedang,1067888.12726815,6298.15602994782
586,442,443,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,1307.05253364802,189.469369443347
587,442,443,2,Rawa Terate,Cakung,Kota Adm. Jakarta Timur,31.75.06.1002,31.75.06,31.75,Sedang,104013.030479062,1526.2466604968802
588,443,444,2,Penggilingan,Cakung,Kota Adm. Jakarta Timur,31.75.06.1003,31.75.06,31.75,Sedang,79290.9177380242,1439.4876727344301
589,444,445,3,Ujung Menteng,Cakung,Kota Adm. Jakarta Timur,31.75.06.1006,31.75.06,31.75,Berat,6846.80983378008,377.29187696476805
590,445,446,2,Kemanggisan,Pal Merah,Kota Adm. Jakarta Barat,31.73.07.1005,31.73.07,31.73,Sedang,75183.40632288651,1195.64395820096
591,446,447,3,Penggilingan,Cakung,Kota Adm. Jakarta Timur,31.75.06.1003,31.75.06,31.75,Berat,10000.0000016152,400.000000032304
592,447,448,3,Pulo Gebang,Cakung,Kota Adm. Jakarta Timur,31.75.06.1005,31.75.06,31.75,Berat,538.032438623469,121.91091468846001
593,447,448,3,Ujung Menteng,Cakung,Kota Adm. Jakarta Timur,31.75.06.1006,31.75.06,31.75,Berat,6308.7773955739,347.77793224990796
594,448,449,2,Pulo Gebang,Cakung,Kota Adm. Jakarta Timur,31.75.06.1005,31.75.06,31.75,Sedang,6403.80859434266,374.980041487054
595,449,450,3,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Berat,6846.8620621788305,377.293209867737
596,450,451,2,Gunung Sahari Selatan,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1005,31.71.03,31.71,Sedang,248360.85095732,4037.8200342999803
597,450,451,2,Cempaka Baru,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1006,31.71.03,31.71,Sedang,441021.206627812,5682.14627280772
598,450,451,2,Sumur Batu,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1007,31.71.03,31.71,Sedang,651818.060611421,4799.474743240481
599,450,451,2,Gambir,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1001,31.71.01,31.71,Sedang,1097225.01242799,9601.44493348701
600,450,451,2,Cideng,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1002,31.71.01,31.71,Sedang,742282.647672241,4231.6401564076
601,450,451,2,Petojo Utara,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1003,31.71.01,31.71,Sedang,968590.923617618,6610.1718078657705
602,450,451,2,Petojo Selatan,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1004,31.71.01,31.71,Sedang,273724.598878019,3836.38739730444
603,450,451,2,Kebon Kelapa,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1005,31.71.01,31.71,Sedang,602597.280164856,5415.75434685323
604,450,451,2,Duri Pulo,Gambir,Kota Adm. Jakarta Pusat,31.71.01.1006,31.71.01,31.71,Sedang,195010.90893923,3278.5543120565303
605,450,451,2,Pasar Baru,Sawah Besar,Kota Adm. Jakarta Pusat,31.71.02.1001,31.71.02,31.71,Sedang,1386292.62713474,10814.7455007857
606,450,451,2,Karang Anyar,Sawah Besar,Kota Adm. Jakarta Pusat,31.71.02.1002,31.71.02,31.71,Sedang,503027.161834696,3382.47847345665
607,450,451,2,Kartini,Sawah Besar,Kota Adm. Jakarta Pusat,31.71.02.1003,31.71.02,31.71,Sedang,525503.6952584031,3321.5737503364503
608,450,451,2,Gunung Sahari Utara,Sawah Besar,Kota Adm. Jakarta Pusat,31.71.02.1004,31.71.02,31.71,Sedang,300115.50011226,3375.05043138504
609,450,451,2,Mangga Dua Selatan,Sawah Besar,Kota Adm. Jakarta Pusat,31.71.02.1005,31.71.02,31.71,Sedang,666573.547841071,6863.07281953831
