OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1645,1047,1048,2,SRENGSENG SAWAH,JAGAKARSA,KOTA ADM. JAKARTA SELATAN,31.74.09.1002,31.74.09,31.74,SEDANG,6403.80859348386,374.9800414687661,JAKARTA SELATAN,0.6
1646,1048,1049,2,KELAPA DUA WETAN,CIRACAS,KOTA ADM. JAKARTA TIMUR,31.75.09.1003,31.75.09,31.75,SEDANG,19240.7226549691,772.9170817949021,JAKARTA TIMUR,0.6
1647,1049,1050,3,CIGANJUR,JAGAKARSA,KOTA ADM. JAKARTA SELATAN,31.74.09.1003,31.74.09,31.74,BERAT,6846.278447393801,376.287450936122,JAKARTA SELATAN,0.9
1648,1050,1051,3,KEBAGUSAN,PASAR MINGGU,KOTA ADM. JAKARTA SELATAN,31.74.04.1007,31.74.04,31.74,BERAT,90502.0761199919,1576.7059397192202,JAKARTA SELATAN,0.9
1649,1050,1051,3,JAGAKARSA,JAGAKARSA,KOTA ADM. JAKARTA SELATAN,31.74.09.1001,31.74.09,31.74,BERAT,155263.615909471,2355.0851470546604,JAKARTA SELATAN,0.9
1650,1050,1051,3,SRENGSENG SAWAH,JAGAKARSA,KOTA ADM. JAKARTA SELATAN,31.74.09.1002,31.74.09,31.74,BERAT,161087.114908237,2736.3202477866203,JAKARTA SELATAN,0.9
1651,1050,1051,3,LENTENG AGUNG,JAGAKARSA,KOTA ADM. JAKARTA SELATAN,31.74.09.1004,31.74.09,31.74,BERAT,307312.602438096,4390.19259277726,JAKARTA SELATAN,0.9
1652,1051,1052,2,PEKAYON,PASAR REBO,KOTA ADM. JAKARTA TIMUR,31.75.05.1005,31.75.05,31.75,SEDANG,128.823530318335,51.975139989155096,JAKARTA TIMUR,0.6
1653,1051,1052,2,CIRACAS,CIRACAS,KOTA ADM. JAKARTA TIMUR,31.75.09.1001,31.75.09,31.75,SEDANG,25435.2700741688,661.06573645057,JAKARTA TIMUR,0.6
1654,1051,1052,2,KELAPA DUA WETAN,CIRACAS,KOTA ADM. JAKARTA TIMUR,31.75.09.1003,31.75.09,31.75,SEDANG,1309.07533791416,156.26084882308302,JAKARTA TIMUR,0.6
1655,1052,1053,3,CILANGKAP,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1002,31.75.10,31.75,BERAT,288600.693395115,3122.73438299315,JAKARTA TIMUR,0.9
1656,1053,1054,2,PEKAYON,PASAR REBO,KOTA ADM. JAKARTA TIMUR,31.75.05.1005,31.75.05,31.75,SEDANG,10000.0000009447,400.000000018893,JAKARTA TIMUR,0.6
1657,1054,1055,3,CIPAYUNG,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1001,31.75.10,31.75,BERAT,67292.0737813486,1703.327518948,JAKARTA TIMUR,0.9
1658,1054,1055,3,CILANGKAP,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1002,31.75.10,31.75,BERAT,269141.09411574504,4041.0303527953,JAKARTA TIMUR,0.9
1659,1054,1055,3,MUNJUL,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1004,31.75.10,31.75,BERAT,12647.4629495669,527.3808232326301,JAKARTA TIMUR,0.9
1660,1055,1056,2,CILANGKAP,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1002,31.75.10,31.75,SEDANG,20000.0000012188,600.000000008224,JAKARTA TIMUR,0.6
1661,1056,1057,2,CILANGKAP,CIPAYUNG,KOTA ADM. JAKARTA TIMUR,31.75.10.1002,31.75.10,31.75,SEDANG,6403.80859348386,374.9800414687661,JAKARTA TIMUR,0.6
1662,1057,1058,3,GAMBIR,GAMBIR,KOTA ADM. JAKARTA PUSAT,31.71.01.1001,31.71.01,31.71,BERAT,1305924.48696734,9855.42326166259,JAKARTA PUSAT,0.9
1663,1057,1058,3,CIDENG,GAMBIR,KOTA ADM. JAKARTA PUSAT,31.71.01.1002,31.71.01,31.71,BERAT,537664.036745721,6638.926621290951,JAKARTA PUSAT,0.9
1664,1057,1058,3,PETOJO UTARA,GAMBIR,KOTA ADM. JAKARTA PUSAT,31.71.01.1003,31.71.01,31.71,BERAT,7751.352656763401,478.815374283136,JAKARTA PUSAT,0.9
1665,1057,1058,3,PETOJO SELATAN,GAMBIR,KOTA ADM. JAKARTA PUSAT,31.71.01.1004,31.71.01,31.71,BERAT,857649.789815283,4120.88418269871,JAKARTA PUSAT,0.9
1666,1057,1058,3,DURI PULO,GAMBIR,KOTA ADM. JAKARTA PUSAT,31.71.01.1006,31.71.01,31.71,BERAT,399295.04699450504,2578.46253005607,JAKARTA PUSAT,0.9
1667,1057,1058,3,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,BERAT,580740.786785113,4852.125178828021,JAKARTA UTARA,0.9
1668,1057,1058,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,3988485.17694286,26680.7506352007,JAKARTA UTARA,0.9
1669,1057,1058,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,3535010.09562008,25685.234797407,JAKARTA UTARA,0.9
1670,1057,1058,3,PEJAGALAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1004,31.72.01,31.72,BERAT,3216596.99981596,12336.0373320436,JAKARTA UTARA,0.9
1671,1057,1058,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,2248961.8782007,15519.5314408802,JAKARTA UTARA,0.9
