OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1,0,1,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,29102.9100905156,698.342749760522,JAKARTA UTARA,0.6
2,1,2,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,6846.757596541311,377.290543894592,JAKARTA UTARA,0.6
3,2,3,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,65349.8568571418,1228.41607915044,JAKARTA UTARA,0.9
4,3,4,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,6846.70535771778,377.289210885861,JAKARTA UTARA,0.9
5,4,5,1,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,RINGAN,20883.9766171966,665.617237151817,JAKARTA UTARA,0.3
6,5,6,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,23193.4705766896,716.278314435076,JAKARTA UTARA,0.6
7,6,7,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,1711.86502795988,304.301539556441,JAKARTA UTARA,0.6
8,6,7,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,18929.881176675,716.472163090709,JAKARTA BARAT,0.6
9,7,8,2,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,SEDANG,23125.6679108041,700.649853995243,JAKARTA UTARA,0.6
10,8,9,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.9
11,9,10,2,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,SEDANG,6368.079735817741,361.91028110159704,JAKARTA UTARA,0.6
12,10,11,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,6403.80859434266,374.980041487054,JAKARTA UTARA,0.9
13,11,12,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,13498.5382114606,567.373926139988,JAKARTA UTARA,0.6
14,12,13,3,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,BERAT,6403.8085928133305,374.98004144378103,JAKARTA UTARA,0.9
15,13,14,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,12803.5188507442,496.26939545854407,JAKARTA UTARA,0.9
16,14,15,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,29715.4181813156,786.695284482681,JAKARTA UTARA,0.9
17,15,16,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,28190.5029568885,853.338833657643,JAKARTA UTARA,0.3
18,15,16,1,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,RINGAN,1091.1642728107,218.558232144316,JAKARTA UTARA,0.3
19,16,17,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,1235.8082647641302,218.348246551586,JAKARTA UTARA,0.9
20,16,17,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,8764.19173618052,377.360713381091,JAKARTA UTARA,0.9
21,17,18,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,26869.312039681503,747.6038359715471,JAKARTA UTARA,0.9
22,18,19,1,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,RINGAN,22928.7270929836,661.1243636785911,JAKARTA UTARA,0.3
23,18,19,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,22225.069085363302,626.6851045171641,JAKARTA UTARA,0.3
24,19,20,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,35679.4754072206,896.3829299100281,JAKARTA UTARA,0.6
25,20,21,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.9
26,21,22,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,6846.7575959533,377.290543878055,JAKARTA BARAT,0.6
27,22,23,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,6403.80859348386,374.9800414687661,JAKARTA UTARA,0.6
28,23,24,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,30000.0000014929,723.606797763603,JAKARTA UTARA,0.3
29,24,25,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,13352.3398173885,563.232828149777,JAKARTA UTARA,0.9
30,25,26,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,5066.72996391594,291.74518036929004,JAKARTA UTARA,0.9
31,26,27,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,6869.151855015531,351.28325601078404,JAKARTA UTARA,0.9
32,27,28,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,23482.9711917116,717.0818036073911,JAKARTA UTARA,0.6
33,28,29,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,7580.19116620677,365.48020180708704,JAKARTA UTARA,0.9
34,29,30,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,7472.016733546891,354.96862757990505,JAKARTA UTARA,0.6
35,30,31,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,6846.7575962473,377.290543886323,JAKARTA UTARA,0.6
36,31,32,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,10000.0000009447,400.000000018893,JAKARTA UTARA,0.3
37,32,33,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,97428.4615315833,1648.03719024233,JAKARTA UTARA,0.6
38,32,33,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,7493.413467412691,518.7475741870061,JAKARTA UTARA,0.6
39,33,34,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,694688.278334775,6271.26128192656,JAKARTA UTARA,0.6
40,34,35,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,6403.80859324272,374.98004145292504,JAKARTA UTARA,0.6
41,35,36,1,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,RINGAN,13498.5382106092,567.3739261147481,JAKARTA UTARA,0.3
42,36,37,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,122433.475183162,1499.6435772159202,JAKARTA UTARA,0.9
43,37,38,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,6443.93176501591,361.1102359629781,JAKARTA UTARA,0.9
44,38,39,2,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,SEDANG,97923.9153867483,1499.32669918599,JAKARTA UTARA,0.6
45,39,40,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,20000.0000018893,600.000000021634,JAKARTA UTARA,0.6
46,40,41,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,19999.999999877706,600.000000008224,JAKARTA UTARA,0.3
47,41,42,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,18208.5608085388,567.165317698469,JAKARTA UTARA,0.9
48,42,43,2,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,SEDANG,156726.476351602,1967.96666148022,JAKARTA BARAT,0.6
49,42,43,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,503604.424813023,2721.8378110872204,JAKARTA BARAT,0.6
50,43,44,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,13498.4763619876,567.372388641644,JAKARTA UTARA,0.6
51,44,45,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,26562.5000015453,697.679830115912,JAKARTA UTARA,0.9
52,45,46,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,40563.477562162,1439.84047531795,JAKARTA UTARA,0.9
53,45,46,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,89018.43161934751,2070.1781717642903,JAKARTA UTARA,0.9
54,46,47,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,6198.44635985532,346.00061182997405,JAKARTA UTARA,0.9
55,47,48,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,383781.065856996,4071.45600878684,JAKARTA UTARA,0.6
56,47,48,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,6025.503914067711,347.254379804865,JAKARTA UTARA,0.6
57,48,49,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,9999.99999893304,399.99999997866104,JAKARTA UTARA,0.6
58,49,50,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,411846.837588192,3246.2254975878204,JAKARTA UTARA,0.6
59,50,51,2,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,SEDANG,360.10660567286004,142.361839678615,JAKARTA BARAT,0.6
60,50,51,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,47020.810543301,977.7246718054312,JAKARTA BARAT,0.6
61,51,52,2,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,SEDANG,9999.99999826251,399.99999996525,JAKARTA BARAT,0.6
62,52,53,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,1708819.73577354,7068.60885335525,JAKARTA UTARA,0.9
63,52,53,3,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,BERAT,458119.202302919,3234.32744762548,JAKARTA BARAT,0.9
64,52,53,3,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,BERAT,182531.83111855603,2681.7303586626904,JAKARTA BARAT,0.9
65,53,54,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,6846.75759706485,377.290543908718,JAKARTA UTARA,0.9
66,54,55,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,148882.378935344,1727.49897688918,JAKARTA UTARA,0.6
67,55,56,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,6502.98664006082,349.14010442651403,JAKARTA UTARA,0.6
68,56,57,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,20641.243437037403,758.6931685943381,JAKARTA UTARA,0.6
69,57,58,3,LAGOA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1003,31.72.03,31.72,BERAT,6846.705358011781,377.28921089413,JAKARTA UTARA,0.9
70,58,59,2,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,SEDANG,23961.6231667948,634.2610557405841,JAKARTA UTARA,0.6
71,58,59,2,CILINCING,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1001,31.72.04,31.72,SEDANG,1116158.96651647,6817.7175260562,JAKARTA UTARA,0.6
72,58,59,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,24882.595372901706,1306.4818762142,JAKARTA UTARA,0.6
73,59,60,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,6846.70535882932,377.289210916524,JAKARTA UTARA,0.6
74,60,61,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,6846.7575962473,377.290543886323,JAKARTA UTARA,0.6
75,61,62,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,535741.108035542,3592.6832358229303,JAKARTA UTARA,0.6
76,62,63,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,11621.7041006321,575.5022712260741,JAKARTA UTARA,0.6
77,63,64,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,6846.7053583057705,377.289210902398,JAKARTA UTARA,0.9
78,64,65,3,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,BERAT,6846.705359123321,377.289210924792,JAKARTA UTARA,0.9
79,65,66,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,65848.3425188144,1140.86318230044,JAKARTA BARAT,0.6
80,66,67,1,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,RINGAN,6846.7575957237605,377.290543872197,JAKARTA UTARA,0.3
81,67,68,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.6
82,68,69,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.6
83,69,70,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,381500.211499998,3607.96357641474,JAKARTA UTARA,0.6
84,70,71,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,166063.537593618,2358.36112507516,JAKARTA UTARA,0.9
85,71,72,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,26562.5000019906,697.679830125644,JAKARTA UTARA,0.6
86,72,73,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,16715.3930678518,776.052501364199,JAKARTA UTARA,0.3
87,73,74,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,6178.32821787929,360.64676603313,JAKARTA UTARA,0.9
88,74,75,3,LAGOA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1003,31.72.03,31.72,BERAT,23167.4173293956,706.401755232956,JAKARTA UTARA,0.9
89,75,76,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,11621.7041013026,575.502271252295,JAKARTA UTARA,0.9
90,76,77,3,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,BERAT,74546.63680449511,1714.56354222767,JAKARTA UTARA,0.9
91,77,78,3,KEBON BAWANG,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1005,31.72.02,31.72,BERAT,10000.0000002741,400.000000005482,JAKARTA UTARA,0.9
92,78,79,3,SEMPER TIMUR,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1005,31.72.04,31.72,BERAT,81760.6578442039,1464.98212464807,JAKARTA UTARA,0.9
93,78,79,3,SEMPER BARAT,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1007,31.72.04,31.72,BERAT,143286.63732849,1510.55033803663,JAKARTA UTARA,0.9
94,79,80,3,SEMPER TIMUR,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1005,31.72.04,31.72,BERAT,6403.80859467793,374.980041499546,JAKARTA UTARA,0.9
95,80,81,3,SEMPER TIMUR,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1005,31.72.04,31.72,BERAT,26562.5000019906,697.679830125644,JAKARTA UTARA,0.9
96,81,82,3,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,BERAT,13653.9712913352,565.884835741734,JAKARTA BARAT,0.9
97,82,83,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,6403.80859305446,374.9800414596221,JAKARTA UTARA,0.6
98,83,84,2,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,SEDANG,26562.5000004295,697.679830103223,JAKARTA UTARA,0.6
99,84,85,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,56264.657265696,1200.3722782687,JAKARTA UTARA,0.6
100,85,86,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,6297.364149102391,337.08849210849803,JAKARTA BARAT,0.6
101,86,87,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,48910.5639104199,884.4693076323161,JAKARTA UTARA,0.6
102,86,87,2,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,SEDANG,3843.5422686588904,301.451750660434,JAKARTA BARAT,0.6
103,87,88,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,1989860.64392771,12280.9978329305,JAKARTA UTARA,0.6
104,88,89,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,84542.8466828075,1581.21872962069,JAKARTA UTARA,0.6
105,89,90,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,16403.8085946168,574.980041476384,JAKARTA UTARA,0.3
106,90,91,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,8523.548334391311,394.289770625692,JAKARTA UTARA,0.6
107,90,91,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,1476.4516658828102,209.98815394471,JAKARTA UTARA,0.6
108,91,92,3,KEBON BAWANG,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1005,31.72.02,31.72,BERAT,6846.705359008541,377.289210921863,JAKARTA UTARA,0.9
109,92,93,3,SEMPER BARAT,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1007,31.72.04,31.72,BERAT,6846.70535859977,377.289210910666,JAKARTA UTARA,0.9
110,93,94,3,CILINCING,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1001,31.72.04,31.72,BERAT,6403.80859434266,374.980041487054,JAKARTA UTARA,0.9
111,94,95,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,6846.7575962473,377.290543886323,JAKARTA BARAT,0.6
112,95,96,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,6846.7575962473,377.290543886323,JAKARTA UTARA,0.6
113,96,97,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,13533.0453666615,564.270711480348,JAKARTA UTARA,0.6
114,96,97,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,6466.95463254562,449.357551163047,JAKARTA UTARA,0.6
115,97,98,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,21896.0571289196,610.808442492035,JAKARTA UTARA,0.6
116,98,99,1,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,RINGAN,6846.75759706485,377.290543908718,JAKARTA UTARA,0.3
117,99,100,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,63701.763932129805,1080.91646506879,JAKARTA UTARA,0.6
118,100,101,3,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,BERAT,9999.99999893304,399.99999997866104,JAKARTA UTARA,0.9
119,101,102,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,123390.834318083,1672.94064195661,JAKARTA UTARA,0.6
120,102,103,3,SEMPER BARAT,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1007,31.72.04,31.72,BERAT,19999.9999992072,599.999999994813,JAKARTA UTARA,0.9
121,103,104,2,SEMPER TIMUR,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1005,31.72.04,31.72,SEDANG,137.06776281772702,55.754760267042,JAKARTA UTARA,0.6
122,103,104,2,CILINCING,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1001,31.72.04,31.72,SEDANG,6266.7408312704,349.790996790515,JAKARTA UTARA,0.6
123,104,105,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,104393.310547963,1793.9497633769,JAKARTA UTARA,0.6
124,105,106,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,19550.5049929302,583.0343150676421,JAKARTA UTARA,0.9
125,105,106,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,449.495007618034,109.248235751805,JAKARTA UTARA,0.9
126,106,107,3,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,BERAT,10000.0000009447,400.000000018893,JAKARTA UTARA,0.9
127,107,108,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.6
128,108,109,3,SUNGAI BAMBU,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1004,31.72.02,31.72,BERAT,6403.80859391326,374.98004147791,JAKARTA UTARA,0.9
129,109,110,2,RAWA BADAK UTARA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1004,31.72.03,31.72,SEDANG,6403.8085945838,374.980041502895,JAKARTA UTARA,0.6
130,110,111,3,RAWA BADAK UTARA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1004,31.72.03,31.72,BERAT,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.9
131,111,112,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,6846.75759683531,377.29054390286,JAKARTA UTARA,0.6
132,112,113,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,10000.0000002741,400.000000005482,JAKARTA UTARA,0.6
133,113,114,1,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,RINGAN,13498.4763628482,567.372388655729,JAKARTA UTARA,0.3
134,114,115,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,11621.7041016379,575.502271265406,JAKARTA UTARA,0.6
135,115,116,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,30000.0000014929,800.000000024375,JAKARTA UTARA,0.6
136,116,117,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,6846.705359123321,377.289210924792,JAKARTA UTARA,0.6
137,117,118,3,SUNGAI BAMBU,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1004,31.72.02,31.72,BERAT,22667.5003405141,669.14950048116,JAKARTA UTARA,0.9
138,117,118,3,KEBON BAWANG,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1005,31.72.02,31.72,BERAT,499.916987977807,102.91640526525102,JAKARTA UTARA,0.9
139,118,119,2,RAWA BADAK UTARA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1004,31.72.03,31.72,SEDANG,10000.0000002741,400.000000005482,JAKARTA UTARA,0.6
140,119,120,3,RAWA BADAK UTARA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1004,31.72.03,31.72,BERAT,10000.0000002741,400.000000005482,JAKARTA UTARA,0.9
