city,baseline_score,max_baseline_score,total_polygon_area,polygon_count
JAKARTA BARAT,0.7057692307692307,0.9,117980186.87535857,312
JAKARTA PUSAT,0.7288235294117648,0.9,48127292.27998332,170
JAKARTA SELATAN,0.6987096774193547,0.9,61248073.60361512,465
JAKARTA TIMUR,0.6874785591766724,0.9,117468087.13723312,583
JAKARTA UTARA,0.6964864864864865,0.9,120963805.80817133,370
